
Club,Carry,Total,Side Dist,Smash Factor,Club Speed,Ball Speed,Back Spin,Side Spin,Launch Angle,Side Angle,Decent Angle,Apex,Flight Time,Type,Face Angle,Club Path
60,85.8,87.6,5.4 L,1.14,65.0,74.2,8972,234 R,24.4,4.1 L,41.0,15.2,4.0,straight,4.1 L,-4.3
60,87.9,89.4,3.9 L,1.19,63.4,75.3,9147,414 R,25.9,3.5 L,43.4,17.1,4.2,straight,3.7 L,-1.9
60,84.2,86.1,4.5 L,1.08,67.4,72.9,8638,31 L,27.3,2.9 L,43.5,16.8,4.2,straight,3.1 L,-0.8
60,86.3,87.5,3.8 L,1.18,63.1,74.3,9332,4 L,25.8,2.6 L,43.0,16.6,4.2,straight,2.9 L,-0.1
60,86.8,89.0,5 L,1.06,70.2,74.4,8543,5 R,26.4,3.2 L,43.1,16.9,4.2,straight,3.6 L,-0.0




56,109.2,111.3,6.5 L,1.14,76.9,87.8,9266,209 L,22.8,2.9 L,44.6,21.1,4.8,straight,3.1 L,-0.8
56,107.5,109.7,6.8 L,1.08,80.6,87.0,9227,17 L,22.9,3.6 L,44.2,20.7,4.8,straight,3.9 L,-1.0
56,111.8,113.4,7.5 L,1.17,77.0,89.8,9634,299 L,24.1,3 L,46.9,23.8,5.1,straight,3.2 L,-1.3
56,111.5,113.5,10.2 L,1.21,74.1,89.4,9354,318 L,24.1,4.3 L,46.5,23.3,5.0,straight,4.7 L,-1.4
56,113.2,114.9,7.7 L,1.15,78.6,90.5,9532,173 L,24.1,3.5 L,47.1,24.0,5.1,straight,3.7 L,-1.9
56,110.1,112.2,8.8 L,1.11,79.7,88.5,9298,377 L,23.4,3.6 L,45.4,22.0,4.9,straight,3.6 L,-3.5




52,125.8,129.6,10.5 L,1.23,79.2,97.4,8291,546 L,23.4,2.9 L,47.9,27.3,5.5,fadedraw,3.1 L,-1.9
52,127.0,130.1,6.1 L,1.23,80.4,98.7,8773,283 L,24.2,1.8 L,49.2,29.2,5.6,straight,2 L,-0.3
52,126.7,129.7,7.2 L,1.22,80.9,98.6,8884,356 L,22.9,2.1 L,47.9,27.6,5.5,straight,2.4 L,0.1
52,126.0,129.2,6.6 L,1.20,81.6,97.8,8779,211 L,22.4,2.4 L,47.2,26.5,5.4,straight,2.5 L,-1.0
52,126.2,129.4,10.9 L,1.17,83.6,97.9,8758,601 L,21.7,3.1 L,46.5,25.6,5.4,fadedraw,3.4 L,0.1



P,142.2,146.5,5.1 L,1.30,83.1,107.7,8147,301 L,22.3,1 L,49.6,32.5,6.0,straight,0.9 L,-1.3
P,140.7,144.7,8.1 L,1.26,84.8,107.0,8344,402 L,22.6,1.8 L,49.7,32.4,6.0,straight,1.8 L,-1.7
P,143.9,148.5,12.7 L,1.28,85.1,108.6,7968,622 L,22.2,2.7 L,49.4,32.7,6.0,fadedraw,2.9 L,-0.8
P,144.0,148.6,11.2 L,1.29,84.5,108.7,7980,545 L,22.2,2.4 L,49.6,32.9,6.0,fadedraw,2.6 L,-0.2
P,140.6,145.1,9.2 L,1.33,79.8,106.4,8001,418 L,22.3,2.1 L,49.2,31.6,5.9,straight,2.2 L,-1.5




9,153.3,159.4,5.2 L,1.35,83.6,112.6,7154,378 L,19.4,0.4 L,47.3,31.1,6.0,fadedraw,0.6 L,1.0
9,153.8,159.6,3.4 L,1.32,85.9,113.5,7254,126 L,21.3,0.8 L,49.6,34.5,6.2,straight,0.9 L,0.7
9,156.9,163.7,9 L,1.27,90.0,114.3,6721,461 L,21.1,1.1 L,49.1,34.5,6.2,fadedraw,1.4 L,0.9
9,151.3,157.4,8.7 L,1.30,86.0,111.4,7114,305 L,20.9,2 L,48.7,32.7,6.1,straight,2.1 L,-0.3
9,155.4,161.5,14 L,1.31,86.9,114.2,7159,536 L,20.1,2.7 L,48.4,33.0,6.1,fadedraw,2.9 L,-0.9




8,164.3,170.8,0.3 R,1.42,83.9,119.5,6982,85 L,19.6,0.6 R,49.4,35.7,6.4,straight,0.6 R,0.9
8,165.9,173.0,2.2 L,1.38,86.9,119.6,6694,115 L,18.9,0.3 L,48.5,34.6,6.3,straight,0.4 L,0.8
8,168.1,175.5,1.2 L,1.42,84.8,120.3,6448,41 L,19.0,0.2 L,48.5,34.9,6.4,straight,0.3 L,0.3
8,168.5,175.8,9.1 L,1.38,87.8,121.1,6534,367 L,19.8,1.3 L,49.6,37.0,6.5,fadedraw,1.4 L,0.3
8,169.0,176.3,12.3 L,1.38,88.0,121.6,6541,706 L,19.8,0.6 L,49.7,37.2,6.5,fadedraw,0.9 L,2.1




7,181.3,190.9,5.1 L,1.45,86.2,124.9,5346,268 L,17.1,0.0 R,46.7,34.1,6.4,straight,0.1 L,1.2
7,183.7,192.8,3.7 L,1.41,90.1,127.3,5641,303 L,16.5,0.6 R,46.8,34.5,6.5,fadedraw,0.4 R,2.5
7,181.4,190.8,5.1 L,1.42,88.3,125.4,5421,164 L,15.6,0.6 L,44.9,31.5,6.2,straight,0.8 L,1.1
7,185.4,195.7,18.3 L,1.38,91.8,126.5,5010,606 L,16.1,1.7 L,45.4,32.7,6.3,fadedraw,2.1 L,1.5
7,182.5,191.9,4.7 L,1.41,89.3,126.1,5439,158 L,17.4,0.6 L,47.2,35.2,6.5,straight,0.6 L,0.0




6,198.8,210.2,11.5 L,1.46,90.2,132.0,4532,405 L,14.9,0.4 L,44.4,33.2,6.5,fadedraw,0.7 L,1.9
6,191.5,201.5,2.0 R,1.39,94.2,130.5,5208,139 L,15.4,1.4 R,45.9,34.2,6.5,straight,1.4 R,1.5
6,193.6,204.4,2.7 L,1.46,89.1,130.4,4765,351 L,14.4,1.6 R,43.9,31.6,6.3,fadedraw,1.5 R,1.9
6,193.4,203.8,1.5 L,1.47,89.1,131.0,5056,196 L,15.7,0.8 R,46.2,34.9,6.6,straight,0.7 R,1.5
